state,abbreviation,policy
Alabama,AL,No Statute
Alaska,AK,No Statute
Arizona,AZ,Preemption
Arkansas,AR,No Statute
California,CA,Bans
Colorado,CO,Preemption
Connecticut,CT,Bans
Delaware,DE,Bans
District of Columbia,DC,Fees or Taxes
Florida,FL,Preemption
Georgia,GA,No Statute
Hawaii,HI,Bans
Idaho,ID,Preemption
Illinois,IL,No Statute
Indiana,IN,Preemption
Iowa,IA,Preemption
Kansas,KS,No Statute
Kentucky,KY,No Statute
Louisiana,LA,No Statute
Maine,ME,Bans
Maryland,MD,No Statute
Massachusetts,MA,No Statute
Michigan,MI,Preemption
Minnesota,MN,Preemption
Mississippi,MS,Preemption
Missouri,MO,Preemption
Montana,MT,No Statute
Nebraska,NE,Preemption
Nevada,NV,No Statute
New Hampshire,NH,No Statute
New Jersey,NJ,Bans
New Mexico,NM,No Statute
New York,NY,Bans
North Carolina,NC,No Statute
North Dakota,ND,Preemption
Ohio,OH,Preemption
Oklahoma,OK,Preemption
Oregon,OR,Bans
Pennsylvania,PA,No Statute
Rhode Island,RI,No Statute
South Carolina,SC,No Statute
South Dakota,SD,Preemption
Tennessee,TN,Preemption
Texas,TX,Preemption
Utah,UT,No Statute
Vermont,VT,Bans
Virginia,VA,Fees or Taxes
Washington,WA,Bans
West Virginia,WV,No Statute
Wisconsin,WI,Preemption
Wyoming,WY,No Statute
